sym,announce_day,year,abn_window,abn_day
DIS,2020-11-13,2020,0.0410176516659837,0.007111721259867032
DIS,2020-08-05,2020,0.10241823193084354,0.08177643364968668
DIS,2020-05-06,2020,0.03942050015790133,0.0049978227956744
DIS,2020-02-05,2020,-0.02897782866861265,-0.0347635898506945
DIS,2019-11-08,2019,0.02787817735758802,0.0351394369236242
NKE,2026-04-01,2026,-0.17182680283197138,-0.16258932311108898
NKE,2025-12-19,2025,-0.14349236972236268,-0.11450297105672413
NKE,2025-10-01,2025,0.06484738250816502,0.060696690834639355
NKE,2025-06-27,2025,0.12613987442363417,0.14693471285811555
NKE,2025-03-21,2025,-0.08044853524355289,-0.05488041628386564
NKE,2024-12-20,2024,-0.02248101481751652,-0.014086274810152566
NKE,2024-10-02,2024,-0.0774668648030451,-0.06807601560993237
NKE,2024-06-28,2024,-0.1824232315510913,-0.19587391783437458
NKE,2024-03-22,2024,-0.06547165665149435,-0.06713824180202188
NKE,2023-12-22,2023,-0.12466071259084588,-0.12026654435162487
NKE,2023-09-29,2023,0.057827681089725025,0.0692573599858215
NKE,2023-06-30,2023,-0.05054091982585052,-0.03826265107900717
NKE,2023-03-22,2023,-0.02255082768632588,-0.03159635797922167
NKE,2022-12-21,2022,0.13032808766270065,0.10683799710773867
NKE,2022-09-30,2022,-0.11469414911986164,-0.11261786614100788
NKE,2022-06-28,2022,-0.04438016541872358,-0.04943127822445814
NKE,2022-03-22,2022,0.022911426269103252,0.010573626234085864
NKE,2021-12-21,2021,0.025957000048094203,0.04371346717699098
NKE,2021-09-24,2021,-0.07109665853275982,-0.06424932950011819
NKE,2021-06-25,2021,0.13484352388566,0.15176204773895474
NKE,2021-03-19,2021,-0.040345065090879095,-0.03782268758959151
NKE,2020-12-21,2020,0.042915008163433854,0.05267240059507561
NKE,2020-09-23,2020,0.08801274489465305,0.11081007043994173
NKE,2020-06-26,2020,-0.04513360851032677,-0.05248128327945534
NKE,2020-03-25,2020,0.09125725423620445,0.07738375250182172
NKE,2019-12-20,2019,-0.016892184908147034,-0.01614868543761938
CAT,2026-04-30,2026,0.08554393154512985,0.088883776393617
CAT,2026-01-29,2026,0.02684883261467319,0.03612183401141977
CAT,2025-10-29,2025,0.12240759075719787,0.11586576534890214
CAT,2025-08-05,2025,-0.01633932632756019,0.006291909489590797
CAT,2025-04-30,2025,0.013853564085591463,0.0056863570902419
CAT,2025-01-30,2025,-0.05542941687414471,-0.051777371851468246
CAT,2024-10-30,2024,-0.006617479316520458,-0.01831638733405694
CAT,2024-08-06,2024,0.025935529741762497,0.021209843959091312
CAT,2024-04-25,2024,-0.06104164313551219,-0.0664036898327589
CAT,2024-02-05,2024,0.02496365734767725,0.023667124134169604
CAT,2023-10-31,2023,-0.05966968758639968,-0.0728065503649229
CAT,2023-08-01,2023,0.10120652323799084,0.09140812482232463
CAT,2023-04-27,2023,-0.016540579507237307,-0.02851165646673237
CAT,2023-01-31,2023,-0.07122355306275407,-0.04992342258805005
CAT,2022-10-27,2022,0.09530383838856071,0.08241173928902534
CAT,2022-08-02,2022,-0.07049031861804766,-0.051649396033860984
CAT,2022-04-28,2022,-0.0033547324718061766,-0.03236341566452561
CAT,2022-01-28,2022,-0.09330079127540747,-0.07672773378195641
CAT,2021-10-28,2021,0.028479577738717454,0.030936451591784486
CAT,2021-07-30,2021,-0.027869345305087667,-0.022477044951554004
CAT,2021-04-29,2021,-0.0177974776843125,-0.027164870141771713
CAT,2021-01-29,2021,0.005768734744309945,0.011882038611191081
CAT,2020-10-27,2020,-0.03626574710328612,-0.028966344662314514
CAT,2020-07-31,2020,-0.05111189817879347,-0.036059481655939085
CAT,2020-04-28,2020,0.02072793180229282,0.006855634446823133
CAT,2020-01-31,2020,-0.030503735041255475,-0.011538750460117653
BA,2026-04-22,2026,0.06219079811967965,0.045175342378325434
BA,2026-01-27,2026,-0.03141608645498828,-0.019562074298910437
BA,2025-10-29,2025,-0.09358290097567123,-0.04413766536128283
BA,2025-07-29,2025,-0.0408168329883829,-0.041057633623871936
BA,2025-04-23,2025,0.04767272401071776,0.04511239441460191
BA,2025-01-28,2025,-0.012634505003703,0.006365380133744214
BA,2024-10-23,2024,-0.022277543308542702,-0.008500742869487321
BA,2024-07-31,2024,-0.047619689008885246,0.003760311390224924
BA,2024-04-24,2024,-0.009737006538311999,-0.028193031008907354
BA,2024-01-31,2024,0.050189873311468736,0.0692008460301281
BA,2023-10-25,2023,0.008223408989544767,-0.011037191276201508
BA,2023-07-26,2023,0.09815495109700434,0.08708717563342772
BA,2023-04-26,2023,0.003453300149030003,0.008389992835529436
BA,2023-01-25,2023,-0.007831170081796568,0.0029273668950091647
BA,2022-10-26,2022,-0.034148580787840666,-0.08015777173270622
BA,2022-07-27,2022,-0.01850351756033808,-0.024876203872645553
BA,2022-04-27,2022,-0.10489025324146861,-0.07812306722364237
